Iteration,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
52,WBGene00019373,WBGene00015280,WBGene00012337,WBGene00015191,WBGene00022149,WBGene00000079,WBGene00000240,WBGene00044423,WBGene00011815,WBGene00020025,0.824819289,0.217138561
53,WBGene00000183,WBGene00019617,WBGene00000835,WBGene00017311,WBGene00022077,WBGene00022787,WBGene00002037,WBGene00012007,WBGene00002181,WBGene00008805,0.800731487,0.338749792
54,WBGene00012802,WBGene00010002,WBGene00010337,WBGene00001411,WBGene00015056,WBGene00016034,WBGene00003626,WBGene00003654,WBGene00018349,WBGene00016653,0.859314531,0.11499942
55,WBGene00006593,WBGene00015061,WBGene00012977,WBGene00018055,WBGene00012983,WBGene00255714,WBGene00018044,WBGene00009220,WBGene00008603,WBGene00006760,0.857059742,0.221945806
56,WBGene00012983,WBGene00003514,WBGene00011044,WBGene00001501,WBGene00016419,WBGene00013659,WBGene00022077,WBGene00019770,WBGene00044323,WBGene00017293,0.770762843,0.325321845
57,WBGene00012982,WBGene00015800,WBGene00022376,WBGene00011194,WBGene00018055,WBGene00006371,WBGene00015680,WBGene00012650,WBGene00021855,WBGene00017770,0.833554323,0.149727676
58,WBGene00011573,WBGene00016174,WBGene00017201,WBGene00015849,WBGene00000815,WBGene00022253,WBGene00003408,WBGene00004058,WBGene00003220,WBGene00000994,0.844188157,0.305065507
59,WBGene00009992,WBGene00004058,WBGene00021247,WBGene00015814,WBGene00011664,WBGene00021043,WBGene00009787,WBGene00004106,WBGene00004356,WBGene00013604,0.851054266,0.315083803
60,WBGene00021443,WBGene00012802,WBGene00008741,WBGene00001604,WBGene00017352,WBGene00018455,WBGene00012029,WBGene00010537,WBGene00010248,WBGene00012258,0.801373638,0.15284593
61,WBGene00004058,WBGene00015823,WBGene00015061,WBGene00007071,WBGene00004172,WBGene00008191,WBGene00017262,WBGene00010230,WBGene00013670,WBGene00006066,0.80041231,0.40696618
62,WBGene00022413,WBGene00011044,WBGene00019017,WBGene00010048,WBGene00016966,WBGene00007047,WBGene00008008,WBGene00015061,WBGene00009469,WBGene00013325,0.828134574,0.436558757
63,WBGene00009992,WBGene00004058,WBGene00009787,WBGene00015472,WBGene00017201,WBGene00016966,WBGene00015677,WBGene00007963,WBGene00012371,WBGene00011010,0.868439901,0.406117539
64,WBGene00011044,WBGene00011573,WBGene00004058,WBGene00013688,WBGene00010703,WBGene00003418,WBGene00015806,WBGene00012982,WBGene00015510,WBGene00022366,0.835887244,0.294192261
65,WBGene00011573,WBGene00010834,WBGene00021043,WBGene00021816,WBGene00007030,WBGene00015056,WBGene00019249,WBGene00013869,WBGene00018984,WBGene00010111,0.830909124,0.383136468
66,WBGene00004058,WBGene00018523,WBGene00012911,WBGene00023498,WBGene00002997,WBGene00005010,WBGene00001345,WBGene00002131,WBGene00009234,WBGene00017874,0.851425125,0.224366966
67,WBGene00001851,WBGene00021816,WBGene00010409,WBGene00003097,WBGene00006829,WBGene00012968,WBGene00003085,WBGene00007913,WBGene00010459,WBGene00022398,0.800173872,0.101402504
68,WBGene00014258,WBGene00011399,WBGene00015756,WBGene00011573,WBGene00020933,WBGene00015347,WBGene00017735,WBGene00008973,WBGene00006353,WBGene00018011,0.797519263,0.239665154
69,WBGene00017874,WBGene00009542,WBGene00014088,WBGene00001510,WBGene00000789,WBGene00017201,WBGene00011303,WBGene00006430,WBGene00009385,WBGene00022463,0.863232044,0.340081833
70,WBGene00011573,WBGene00013241,WBGene00011094,WBGene00008741,WBGene00009365,WBGene00015056,WBGene00015926,WBGene00001740,WBGene00011029,WBGene00011258,0.805591144,0.172120703
71,WBGene00219275,WBGene00012337,WBGene00021043,WBGene00011573,WBGene00010834,WBGene00021869,WBGene00011935,WBGene00003659,WBGene00020530,WBGene00015577,0.855673799,0.405777593
72,WBGene00004058,WBGene00015061,WBGene00018011,WBGene00003928,WBGene00015968,WBGene00011935,WBGene00000761,WBGene00019963,WBGene00013011,WBGene00013422,0.857395339,0.178658453
73,WBGene00007312,WBGene00017201,WBGene00004058,WBGene00012556,WBGene00002021,WBGene00003387,WBGene00014027,WBGene00014078,WBGene00021936,WBGene00014087,0.854517666,0.209624806
74,WBGene00001371,WBGene00001501,WBGene00007107,WBGene00009862,WBGene00019164,WBGene00015061,WBGene00009787,WBGene00016965,WBGene00013558,WBGene00010077,0.829654674,0.254038946
75,WBGene00020091,WBGene00011059,WBGene00008399,WBGene00018682,WBGene00004888,WBGene00002196,WBGene00003406,WBGene00017999,WBGene00021286,WBGene00022052,0.858910842,0.254583909
76,WBGene00011573,WBGene00013241,WBGene00006760,WBGene00000206,WBGene00008283,WBGene00015463,WBGene00015644,WBGene00019373,WBGene00015586,WBGene00011152,0.830216194,0.254168591
77,WBGene00016987,WBGene00014088,WBGene00013552,WBGene00015130,WBGene00006609,WBGene00016438,WBGene00001559,WBGene00022413,WBGene00044648,WBGene00000670,0.83952533,0.255508065
78,WBGene00004058,WBGene00015061,WBGene00002879,WBGene00021074,WBGene00017547,WBGene00018717,WBGene00003421,WBGene00012903,WBGene00010084,WBGene00013632,0.803660725,0.356674318
79,WBGene00011044,WBGene00009787,WBGene00014251,WBGene00000670,WBGene00003090,WBGene00010012,WBGene00003847,WBGene00303026,WBGene00018602,WBGene00021808,0.816772351,0.341683789
80,WBGene00011573,WBGene00011044,WBGene00010966,WBGene00015061,WBGene00003659,WBGene00012903,WBGene00014697,WBGene00001501,WBGene00012136,WBGene00010436,0.868675958,0.288466654
81,WBGene00000229,WBGene00009787,WBGene00012802,WBGene00009218,WBGene00011661,WBGene00000815,WBGene00015056,WBGene00020247,WBGene00011944,WBGene00008254,0.802157795,0.260336782
82,WBGene00000910,WBGene00016195,WBGene00019164,WBGene00009787,WBGene00011642,WBGene00016667,WBGene00045245,WBGene00008706,WBGene00013095,WBGene00007145,0.841579158,0.262120099
83,WBGene00004058,WBGene00006476,WBGene00012719,WBGene00000534,WBGene00013445,WBGene00003806,WBGene00015061,WBGene00013969,WBGene00009366,WBGene00008400,0.837005159,0.385213708
84,WBGene00019373,WBGene00018159,WBGene00020269,WBGene00001564,WBGene00001688,WBGene00021043,WBGene00016564,WBGene00021456,WBGene00020843,WBGene00000527,0.826968549,0.166673761
85,WBGene00011044,WBGene00015061,WBGene00010834,WBGene00017659,WBGene00011893,WBGene00017037,WBGene00004356,WBGene00021442,WBGene00008457,WBGene00018240,0.866677319,0.243586168
86,WBGene00011573,WBGene00015650,WBGene00007807,WBGene00003613,WBGene00004979,WBGene00012556,WBGene00007609,WBGene00017124,WBGene00001650,WBGene00017773,0.798124986,0.267863907
87,WBGene00020091,WBGene00004058,WBGene00017201,WBGene00019963,WBGene00013308,WBGene00010882,WBGene00021073,WBGene00003834,WBGene00021043,WBGene00010720,0.818590388,0.391997793
88,WBGene00017123,WBGene00011573,WBGene00013177,WBGene00016705,WBGene00020436,WBGene00013241,WBGene00007520,WBGene00013552,WBGene00013080,WBGene00004256,0.856767994,0.241733925
89,WBGene00013225,WBGene00011309,WBGene00006984,WBGene00012002,WBGene00000761,WBGene00022232,WBGene00009300,WBGene00011522,WBGene00007976,WBGene00021512,0.870581935,0.10611154
90,WBGene00004058,WBGene00045245,WBGene00022579,WBGene00010657,WBGene00015061,WBGene00004917,WBGene00021830,WBGene00021847,WBGene00011044,WBGene00010967,0.817358191,0.34584695
91,WBGene00016987,WBGene00019017,WBGene00008442,WBGene00016474,WBGene00014227,WBGene00018602,WBGene00008639,WBGene00013734,WBGene00018189,WBGene00020937,0.842392951,0.291389117
92,WBGene00009992,WBGene00001239,WBGene00021123,WBGene00007091,WBGene00012982,WBGene00019617,WBGene00002997,WBGene00014222,WBGene00013231,WBGene00015056,0.816423678,0.272871158
93,WBGene00011573,WBGene00001564,WBGene00009880,WBGene00009135,WBGene00011361,WBGene00016567,WBGene00007907,WBGene00022171,WBGene00009469,WBGene00001243,0.873490099,0.259435483
94,WBGene00018523,WBGene00004058,WBGene00009992,WBGene00013738,WBGene00007963,WBGene00012982,WBGene00012002,WBGene00013196,WBGene00001753,WBGene00014228,0.835268489,0.321845589
95,WBGene00020091,WBGene00004058,WBGene00017201,WBGene00009787,WBGene00001234,WBGene00022427,WBGene00000797,WBGene00044083,WBGene00000444,WBGene00009224,0.843279279,0.362179501
96,WBGene00001390,WBGene00003169,WBGene00011045,WBGene00015525,WBGene00013354,WBGene00001651,WBGene00014177,WBGene00007744,WBGene00007050,WBGene00001088,0.867384892,0.109731609
97,WBGene00021810,WBGene00011573,WBGene00021698,WBGene00020933,WBGene00015056,WBGene00017874,WBGene00011361,WBGene00000502,WBGene00003659,WBGene00013765,0.8474726,0.298027536
98,WBGene00011573,WBGene00017158,WBGene00001320,WBGene00044481,WBGene00003169,WBGene00018011,WBGene00017268,WBGene00000514,WBGene00006582,WBGene00021247,0.782337997,0.123956514
99,WBGene00009142,WBGene00004058,WBGene00006476,WBGene00021334,WBGene00017201,WBGene00001030,WBGene00003421,WBGene00011687,WBGene00021558,WBGene00006543,0.851596553,0.344626863
100,WBGene00020091,WBGene00012337,WBGene00022092,WBGene00012982,WBGene00016048,WBGene00008971,WBGene00010063,WBGene00009642,WBGene00013080,WBGene00007602,0.785816877,0.23070797
101,WBGene00018702,WBGene00019126,WBGene00013325,WBGene00016099,WBGene00021376,WBGene00004747,WBGene00018607,WBGene00006066,WBGene00021043,WBGene00021857,0.814009134,0.207037257
102,WBGene00009992,WBGene00019017,WBGene00015056,WBGene00004969,WBGene00021367,WBGene00015756,WBGene00006914,WBGene00018216,WBGene00013531,WBGene00021146,0.826360455,0.244478946
103,WBGene00008777,WBGene00016987,WBGene00018602,WBGene00006814,WBGene00016930,WBGene00006476,WBGene00020457,WBGene00015057,WBGene00000294,WBGene00003553,0.816302283,0.224292964
104,WBGene00009142,WBGene00021512,WBGene00014251,WBGene00010048,WBGene00000281,WBGene00011856,WBGene00014221,WBGene00021554,WBGene00021514,WBGene00021876,0.849058997,0.193820198
105,WBGene00004058,WBGene00017123,WBGene00044083,WBGene00011573,WBGene00018700,WBGene00018051,WBGene00021531,WBGene00021260,WBGene00001172,WBGene00001465,0.873439628,0.323917919
106,WBGene00011573,WBGene00007312,WBGene00021367,WBGene00020446,WBGene00011761,WBGene00007050,WBGene00004892,WBGene00010229,WBGene00007499,WBGene00001635,0.854237966,0.243256085
107,WBGene00018602,WBGene00008147,WBGene00000886,WBGene00012983,WBGene00019373,WBGene00008777,WBGene00011062,WBGene00021043,WBGene00010681,WBGene00009787,0.822026233,0.306881914
108,WBGene00004058,WBGene00009992,WBGene00007807,WBGene00007237,WBGene00015056,WBGene00018523,WBGene00019657,WBGene00021818,WBGene00001149,WBGene00021751,0.838665034,0.295967327
109,WBGene00014251,WBGene00021636,WBGene00003090,WBGene00008195,WBGene00009787,WBGene00013554,WBGene00000509,WBGene00012982,WBGene00021753,WBGene00012395,0.832353123,0.24856473
110,WBGene00013212,WBGene00012700,WBGene00018602,WBGene00012293,WBGene00022077,WBGene00003368,WBGene00018013,WBGene00003685,WBGene00022413,WBGene00007350,0.82716783,0.258708246
111,WBGene00000183,WBGene00015056,WBGene00011573,WBGene00012903,WBGene00019477,WBGene00044032,WBGene00000545,WBGene00006647,WBGene00021689,WBGene00008995,0.805528451,0.266208474
112,WBGene00011573,WBGene00016987,WBGene00001678,WBGene00002245,WBGene00255714,WBGene00019766,WBGene00012675,WBGene00022427,WBGene00017864,WBGene00003659,0.858333835,0.209379406
113,WBGene00004058,WBGene00015061,WBGene00011044,WBGene00006893,WBGene00015347,WBGene00004270,WBGene00003072,WBGene00002048,WBGene00013038,WBGene00016409,0.848902499,0.192715294
114,WBGene00011573,WBGene00219275,WBGene00004058,WBGene00004157,WBGene00022045,WBGene00018523,WBGene00019362,WBGene00010685,WBGene00011676,WBGene00017567,0.854920223,0.287929301
115,WBGene00019017,WBGene00017195,WBGene00001309,WBGene00009992,WBGene00044469,WBGene00010657,WBGene00000075,WBGene00013659,WBGene00012187,WBGene00018990,0.847794861,0.157591086
116,WBGene00011044,WBGene00009787,WBGene00012982,WBGene00017201,WBGene00021813,WBGene00007153,WBGene00006875,WBGene00011803,WBGene00019658,WBGene00015866,0.827286821,0.420775799
117,WBGene00006436,WBGene00015061,WBGene00010353,WBGene00003085,WBGene00013647,WBGene00013212,WBGene00011309,WBGene00011849,WBGene00017373,WBGene00007976,0.859209283,0.2468376
118,WBGene00019141,WBGene00011044,WBGene00021698,WBGene00016435,WBGene00001753,WBGene00013212,WBGene00016074,WBGene00004043,WBGene00007976,WBGene00004047,0.85963252,0.243577998
119,WBGene00016987,WBGene00000564,WBGene00012802,WBGene00009469,WBGene00001501,WBGene00009069,WBGene00001019,WBGene00016419,WBGene00011768,WBGene00013275,0.846326272,0.261711732
120,WBGene00018523,WBGene00004058,WBGene00009992,WBGene00000800,WBGene00013969,WBGene00015061,WBGene00000797,WBGene00004766,WBGene00017888,WBGene00000095,0.827129323,0.393236497
121,WBGene00004058,WBGene00015061,WBGene00001851,WBGene00007602,WBGene00000815,WBGene00022466,WBGene00006476,WBGene00020446,WBGene00013931,WBGene00013360,0.846208347,0.286547044
122,WBGene00011044,WBGene00018602,WBGene00015061,WBGene00018967,WBGene00044083,WBGene00004486,WBGene00018044,WBGene00008283,WBGene00014095,WBGene00011739,0.868750746,0.228195045
123,WBGene00011573,WBGene00006567,WBGene00015056,WBGene00012802,WBGene00009712,WBGene00018812,WBGene00012428,WBGene00009877,WBGene00017874,WBGene00022048,0.821912946,0.313284423
124,WBGene00018702,WBGene00011059,WBGene00006593,WBGene00001025,WBGene00017237,WBGene00000368,WBGene00006759,WBGene00020921,WBGene00019770,WBGene00019018,0.852311208,0.158106134
125,WBGene00016987,WBGene00009992,WBGene00006066,WBGene00021043,WBGene00012929,WBGene00009787,WBGene00001112,WBGene00021350,WBGene00006494,WBGene00008780,0.874244318,0.184140018
126,WBGene00022413,WBGene00016811,WBGene00015011,WBGene00011201,WBGene00019361,WBGene00020163,WBGene00000519,WBGene00018051,WBGene00013509,WBGene00007576,0.82019082,0.11310006
127,WBGene00019373,WBGene00004058,WBGene00013964,WBGene00302991,WBGene00010274,WBGene00022149,WBGene00007534,WBGene00010767,WBGene00006489,WBGene00019842,0.81016241,0.3832965
128,WBGene00021123,WBGene00021810,WBGene00004736,WBGene00002047,WBGene00001394,WBGene00017874,WBGene00007347,WBGene00009443,WBGene00014233,WBGene00020771,0.805299786,0.260478279
129,WBGene00009787,WBGene00000754,WBGene00019164,WBGene00012365,WBGene00015853,WBGene00016943,WBGene00022178,WBGene00014036,WBGene00019833,WBGene00013668,0.840060835,0.405665299
130,WBGene00020091,WBGene00018483,WBGene00017201,WBGene00006604,WBGene00000976,WBGene00012208,WBGene00008777,WBGene00022292,WBGene00012739,WBGene00019522,0.813731541,0.290050827
131,WBGene00009992,WBGene00016811,WBGene00016419,WBGene00013462,WBGene00006580,WBGene00017864,WBGene00001604,WBGene00007650,WBGene00016722,WBGene00010280,0.817297937,0.320310595
132,WBGene00004058,WBGene00008440,WBGene00010703,WBGene00018585,WBGene00010966,WBGene00007107,WBGene00008521,WBGene00003171,WBGene00018952,WBGene00017712,0.850994757,0.30727467
133,WBGene00016509,WBGene00011573,WBGene00013632,WBGene00010834,WBGene00022666,WBGene00019218,WBGene00021043,WBGene00016493,WBGene00021607,WBGene00021810,0.861995163,0.447405927
134,WBGene00020091,WBGene00004058,WBGene00015061,WBGene00022195,WBGene00007217,WBGene00022743,WBGene00013247,WBGene00011029,WBGene00020463,WBGene00020068,0.838202096,0.339729315
135,WBGene00009787,WBGene00015472,WBGene00003097,WBGene00020374,WBGene00012343,WBGene00012471,WBGene00016034,WBGene00019770,WBGene00007255,WBGene00011923,0.830966613,0.198952632
136,WBGene00007807,WBGene00019164,WBGene00016987,WBGene00007153,WBGene00016704,WBGene00009787,WBGene00009741,WBGene00020894,WBGene00016641,WBGene00001501,0.874357893,0.244546042
137,WBGene00020091,WBGene00012337,WBGene00016435,WBGene00012982,WBGene00010002,WBGene00017201,WBGene00011059,WBGene00004336,WBGene00044082,WBGene00012360,0.880599341,0.263496467
138,WBGene00009787,WBGene00007807,WBGene00007153,WBGene00017201,WBGene00019164,WBGene00012259,WBGene00020037,WBGene00014262,WBGene00008131,WBGene00008606,0.856194907,0.302365729
139,WBGene00017123,WBGene00000422,WBGene00000444,WBGene00021559,WBGene00001572,WBGene00009207,WBGene00022881,WBGene00021783,WBGene00021867,WBGene00001452,0.788877028,0.160923869
140,WBGene00021443,WBGene00012982,WBGene00016419,WBGene00009787,WBGene00007788,WBGene00006460,WBGene00011298,WBGene00021950,WBGene00018044,WBGene00021070,0.826393805,0.393797
141,WBGene00013212,WBGene00012982,WBGene00013260,WBGene00018702,WBGene00003602,WBGene00012715,WBGene00022363,WBGene00010619,WBGene00015110,WBGene00007583,0.824980005,0.161584493
142,WBGene00021813,WBGene00017201,WBGene00004058,WBGene00015061,WBGene00018010,WBGene00020562,WBGene00016643,WBGene00008331,WBGene00009027,WBGene00022647,0.865100325,0.298834065
143,WBGene00021810,WBGene00011573,WBGene00017881,WBGene00022246,WBGene00001449,WBGene00011252,WBGene00000680,WBGene00017450,WBGene00014036,WBGene00015407,0.804748723,0.288767605
144,WBGene00018700,WBGene00018523,WBGene00004058,WBGene00009731,WBGene00019617,WBGene00013359,WBGene00045305,WBGene00015404,WBGene00045507,WBGene00014256,0.846978549,0.245269911
145,WBGene00011573,WBGene00011044,WBGene00015975,WBGene00007312,WBGene00019373,WBGene00004506,WBGene00018257,WBGene00016099,WBGene00007258,WBGene00009027,0.842278409,0.331433221
146,WBGene00219275,WBGene00011573,WBGene00006527,WBGene00004172,WBGene00000422,WBGene00018869,WBGene00010134,WBGene00001007,WBGene00000899,WBGene00006638,0.848593642,0.206245066
147,WBGene00011044,WBGene00011573,WBGene00006648,WBGene00019373,WBGene00015245,WBGene00000962,WBGene00010048,WBGene00006388,WBGene00000993,WBGene00017506,0.804303405,0.406175874
148,WBGene00009787,WBGene00000754,WBGene00019373,WBGene00006404,WBGene00001501,WBGene00018853,WBGene00010681,WBGene00016434,WBGene00021210,WBGene00018602,0.8570185,0.435428283
